Model;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;fit_time_std;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;score_time_std;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_acc_std;test_balanced_accuracy_cv1;test_balanced_accuracy_cv2;test_balanced_accuracy_cv3;test_balanced_accuracy_cv4;test_balanced_accuracy_cv5;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_prec_std;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_recall_std;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_f1-score_std;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tp_std;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_tn_std;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fp_std;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;test_fn_std;test_cohens_kappa_cv1;test_cohens_kappa_cv2;test_cohens_kappa_cv3;test_cohens_kappa_cv4;test_cohens_kappa_cv5;test_cohens_kappa_mean;test_cohens_kappa_std;test_matthews_corrcoef_cv1;test_matthews_corrcoef_cv2;test_matthews_corrcoef_cv3;test_matthews_corrcoef_cv4;test_matthews_corrcoef_cv5;test_matthews_corrcoef_mean;test_matthews_corrcoef_std;test_roc_auc_cv1;test_roc_auc_cv2;test_roc_auc_cv3;test_roc_auc_cv4;test_roc_auc_cv5;test_roc_auc_mean;test_roc_auc_std;fit_time_overall;score_time_overall;acc_overall;balanced_accuracy_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;cohens_kappa_overall;matthews_corrcoef_overall;roc_auc_overall
NB_Count_Vectors;0.15473103523254395;0.1495208740234375;0.15397381782531738;0.14721322059631348;0.12920093536376953;0.14692797660827636;0.00929068431034246;0.09690213203430176;0.08529090881347656;0.0921332836151123;0.09466075897216797;0.0683908462524414;0.0874755859375;0.010307092058305921;0.7642089093701997;0.754803996925442;0.7717140661029976;0.7632590315142198;0.7686395080707148;0.7645251023967148;0.005741294946501601;0.5245309381237525;0.5216974078598655;0.5423493173493174;0.5298518148518149;0.5391841491841491;0.5315227254737798;0.008051414829434096;0.7786688051323175;0.778321108394458;0.7852512155591572;0.7805668016194331;0.7840909090909091;0.781379767959255;0.002817943392141848;0.969061876247505;0.9530938123752495;0.968031968031968;0.9630369630369631;0.965034965034965;0.9636519169453301;0.005695912036068709;0.8634948866162738;0.8568864961866307;0.8671140939597316;0.8622540250447227;0.8652037617554859;0.8629906527125689;0.0034628952741450137;971;955;969;964;966;965.0;5.549774770204643;24;27;35;29;34;29.8;4.166533331199932;276;272;265;271;266;270.0;4.049691346263317;31;47;32;37;35;36.4;5.71314274283428;0.06872160480883494;0.05895864369270387;0.11633624307345403;0.08213649253492039;0.10729730161009787;0.08669005714400221;0.021982658559083195;0.10271268195248992;0.07882594067461969;0.1614206510774086;0.11459692243161851;0.14729506070231058;0.12097025136768946;0.029931025741368723;0.5245309381237525;0.5216974078598655;0.5423493173493174;0.5298518148518149;0.5391841491841491;0.5315227254737798;0.008051414829434096;0.0613560676574707;0.0201108455657959;0.7634854771784232;0.54513481126423;0.7867063492063492;0.9502696225284601;0.8607869742198101;1586;70;430;83;0.11925370263512214;0.14847858416533555;0.54513481126423
NB_WordLevel_TF-IDF;0.042909860610961914;0.04489302635192871;0.04125404357910156;0.046855926513671875;0.04097294807434082;0.04337716102600098;0.002231855474385156;0.043998003005981445;0.043107032775878906;0.040846824645996094;0.04212212562561035;0.05211615562438965;0.04443802833557129;0.003979421049246274;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7694081475787855;0.7694081475787855;0.7695972966558868;0.00029775369631563644;0.5;0.5;0.5;0.5;0.5011671661671662;0.5002334332334332;0.0004668664668664668;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7694081475787855;0.7698229407236336;0.7696802552848564;0.0002912090382136433;1.0;1.0;1.0;1.0;0.999000999000999;0.9998001998001997;0.00039960039960038605;0.8697916666666667;0.870169344333478;0.8696785403996524;0.8696785403996524;0.8695652173913043;0.8697766618381509;0.0002089923800062626;1002;1002;1001;1001;1000;1001.2;0.7483314773547883;0;0;0;0;1;0.2;0.4;300;299;300;300;299;299.6;0.48989794855663565;0;0;0;0;1;0.2;0.4;0.0;0.0;0.0;0.0;0.0035792515739005992;0.0007158503147801198;0.0014317006295602396;0.0;0.0;0.0;0.0;0.025096940352875977;0.0050193880705751955;0.010038776141150391;0.5;0.5;0.5;0.5;0.5011671661671662;0.5002334332334332;0.0004668664668664668;0.021268844604492188;0.012012720108032227;0.7699400645458737;0.501;0.7698339483394834;1.0;0.869950482147511;1669;1;499;0;0.003074601927475107;0.03923860212442547;0.501
NB_N-Gram_TF-IDF;0.018517017364501953;0.01927924156188965;0.019058942794799805;0.0250399112701416;0.02503490447998047;0.021386003494262694;0.0029916637240719733;0.03428292274475098;0.04008197784423828;0.03699827194213867;0.03492283821105957;0.04943227767944336;0.03914365768432617;0.005527764236794433;0.7688172043010753;0.7709454265949269;0.7694081475787855;0.7686395080707148;0.7694081475787855;0.7694436868248575;0.0008120261368022591;0.499500998003992;0.5016722408026756;0.5;0.4995004995004995;0.5;0.5001347476614335;0.0008005133830043568;0.7694081475787855;0.7707692307692308;0.7694081475787855;0.7692307692307693;0.7694081475787855;0.7696448885472713;0.0005663530875451497;0.999001996007984;1.0;1.0;0.999000999000999;1.0;0.9996005990017967;0.000489164425782468;0.8693009118541034;0.8705473501303214;0.8696785403996524;0.8691873098652759;0.8696785403996524;0.8696785305298012;0.000477229735857951;1001;1002;1001;1000;1001;1001.0;0.6324555320336759;0;1;0;0;0;0.2;0.4000000000000001;300;298;300;300;300;299.6;0.8;1;0;0;1;0;0.4;0.48989794855663565;-0.0015333425333885486;0.00514239085249768;0.0;-0.0015345229296090945;0.0;0.00041490507790000743;0.002461274162205838;-0.015170088636614124;0.050772271116017294;0.0;-0.015183500652917745;0.0;0.004083736365297084;0.024310941084589865;0.499500998003992;0.5016722408026756;0.5;0.4995004995004995;0.5;0.5001347476614335;0.0008005133830043568;0.01092672348022461;0.004374027252197266;0.7699400645458737;0.501;0.7698339483394834;1.0;0.869950482147511;1669;1;499;0;0.003074601927475107;0.03923860212442547;0.501
NB_CharLevel_TF-IDF;0.4727938175201416;0.4701859951019287;0.46137404441833496;0.44249391555786133;0.23266100883483887;0.41590175628662107;0.09223397276978201;0.098297119140625;0.10567498207092285;0.10392189025878906;0.10742402076721191;0.068115234375;0.09668664932250977;0.014610608116581297;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7686395080707148;0.7694081475787855;0.7694435687542727;0.0004912650160946095;0.5;0.5;0.5;0.4995004995004995;0.5;0.49990009990009987;0.00019980019980019305;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7692307692307693;0.7694081475787855;0.7695618209862836;0.00032727929438757224;1.0;1.0;1.0;0.999000999000999;1.0;0.9998001998001997;0.0003996003996003861;0.8697916666666667;0.870169344333478;0.8696785403996524;0.8691873098652759;0.8696785403996524;0.8697010803329451;0.00031383219996900105;1002;1002;1001;1000;1001;1001.2;0.7483314773547883;0;0;0;0;0;0.0;0.0;300;299;300;300;300;299.8;0.4;0;0;0;1;0;0.2;0.4;0.0;0.0;0.0;-0.0015345229296090945;0.0;-0.0003069045859218189;0.0006138091718436378;0.0;0.0;0.0;-0.015183500652917745;0.0;-0.003036700130583549;0.006073400261167098;0.5;0.5;0.5;0.4995004995004995;0.5;0.49990009990009987;0.00019980019980019305;0.08478307723999023;0.029994964599609375;0.7694790225910558;0.5;0.7694790225910558;1.0;0.8697238144867119;1669;0;500;0;0.0;0.0;0.5
NB_Count_Vectors;0.21094584465026855;0.21496295928955078;0.1479039192199707;0.1482830047607422;0.10926270484924316;0.16627168655395508;0.040688111253110795;0.12793803215026855;0.11442089080810547;0.15410518646240234;0.10180187225341797;0.07987618446350098;0.11562843322753906;0.024911210343483946;0.7642089093701997;0.754803996925442;0.7717140661029976;0.7632590315142198;0.7686395080707148;0.7645251023967148;0.005741294946501601;0.5245309381237525;0.5216974078598655;0.5423493173493174;0.5298518148518149;0.5391841491841491;0.5315227254737798;0.008051414829434096;0.7786688051323175;0.778321108394458;0.7852512155591572;0.7805668016194331;0.7840909090909091;0.781379767959255;0.002817943392141848;0.969061876247505;0.9530938123752495;0.968031968031968;0.9630369630369631;0.965034965034965;0.9636519169453301;0.005695912036068709;0.8634948866162738;0.8568864961866307;0.8671140939597316;0.8622540250447227;0.8652037617554859;0.8629906527125689;0.0034628952741450137;971;955;969;964;966;965.0;5.549774770204643;24;27;35;29;34;29.8;4.166533331199932;276;272;265;271;266;270.0;4.049691346263317;31;47;32;37;35;36.4;5.71314274283428;0.06872160480883494;0.05895864369270387;0.11633624307345403;0.08213649253492039;0.10729730161009787;0.08669005714400221;0.021982658559083195;0.10271268195248992;0.07882594067461969;0.1614206510774086;0.11459692243161851;0.14729506070231058;0.12097025136768946;0.029931025741368723;0.5245309381237525;0.5216974078598655;0.5423493173493174;0.5298518148518149;0.5391841491841491;0.5315227254737798;0.008051414829434096;0.034944772720336914;0.01365804672241211;0.7634854771784232;0.54513481126423;0.7867063492063492;0.9502696225284601;0.8607869742198101;1586;70;430;83;0.11925370263512214;0.14847858416533555;0.54513481126423
NB_WordLevel_TF-IDF;0.04559516906738281;0.050096750259399414;0.04414486885070801;0.04455280303955078;0.03916501998901367;0.04471092224121094;0.0034897417040480015;0.03840780258178711;0.03709912300109863;0.037851810455322266;0.04083728790283203;0.03727006912231445;0.0382932186126709;0.0013529936001094836;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7694081475787855;0.7694081475787855;0.7695972966558868;0.00029775369631563644;0.5;0.5;0.5;0.5;0.5011671661671662;0.5002334332334332;0.0004668664668664668;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7694081475787855;0.7698229407236336;0.7696802552848564;0.0002912090382136433;1.0;1.0;1.0;1.0;0.999000999000999;0.9998001998001997;0.00039960039960038605;0.8697916666666667;0.870169344333478;0.8696785403996524;0.8696785403996524;0.8695652173913043;0.8697766618381509;0.0002089923800062626;1002;1002;1001;1001;1000;1001.2;0.7483314773547883;0;0;0;0;1;0.2;0.4;300;299;300;300;299;299.6;0.48989794855663565;0;0;0;0;1;0.2;0.4;0.0;0.0;0.0;0.0;0.0035792515739005992;0.0007158503147801198;0.0014317006295602396;0.0;0.0;0.0;0.0;0.025096940352875977;0.0050193880705751955;0.010038776141150391;0.5;0.5;0.5;0.5;0.5011671661671662;0.5002334332334332;0.0004668664668664668;0.024686098098754883;0.005838155746459961;0.7699400645458737;0.501;0.7698339483394834;1.0;0.869950482147511;1669;1;499;0;0.003074601927475107;0.03923860212442547;0.501
NB_N-Gram_TF-IDF;0.019849061965942383;0.01855778694152832;0.017976045608520508;0.01859569549560547;0.01975727081298828;0.01894717216491699;0.0007331996348338986;0.037268877029418945;0.04802513122558594;0.03476095199584961;0.03686118125915527;0.04003405570983887;0.039390039443969724;0.004632547276343524;0.7688172043010753;0.7709454265949269;0.7694081475787855;0.7686395080707148;0.7694081475787855;0.7694436868248575;0.0008120261368022591;0.499500998003992;0.5016722408026756;0.5;0.4995004995004995;0.5;0.5001347476614335;0.0008005133830043568;0.7694081475787855;0.7707692307692308;0.7694081475787855;0.7692307692307693;0.7694081475787855;0.7696448885472713;0.0005663530875451497;0.999001996007984;1.0;1.0;0.999000999000999;1.0;0.9996005990017967;0.000489164425782468;0.8693009118541034;0.8705473501303214;0.8696785403996524;0.8691873098652759;0.8696785403996524;0.8696785305298012;0.000477229735857951;1001;1002;1001;1000;1001;1001.0;0.6324555320336759;0;1;0;0;0;0.2;0.4000000000000001;300;298;300;300;300;299.6;0.8;1;0;0;1;0;0.4;0.48989794855663565;-0.0015333425333885486;0.00514239085249768;0.0;-0.0015345229296090945;0.0;0.00041490507790000743;0.002461274162205838;-0.015170088636614124;0.050772271116017294;0.0;-0.015183500652917745;0.0;0.004083736365297084;0.024310941084589865;0.499500998003992;0.5016722408026756;0.5;0.4995004995004995;0.5;0.5001347476614335;0.0008005133830043568;0.010740041732788086;0.002416849136352539;0.7699400645458737;0.501;0.7698339483394834;1.0;0.869950482147511;1669;1;499;0;0.003074601927475107;0.03923860212442547;0.501
NB_CharLevel_TF-IDF;0.5383920669555664;0.4930109977722168;0.5101480484008789;0.4847412109375;0.32593512535095215;0.47044548988342283;0.07455178835238702;0.1094670295715332;0.11799502372741699;0.10812211036682129;0.10909175872802734;0.07322978973388672;0.1035811424255371;0.015585862400073213;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7686395080707148;0.7694081475787855;0.7694435687542727;0.0004912650160946095;0.5;0.5;0.5;0.4995004995004995;0.5;0.49990009990009987;0.00019980019980019305;0.7695852534562212;0.7701767870868562;0.7694081475787855;0.7692307692307693;0.7694081475787855;0.7695618209862836;0.00032727929438757224;1.0;1.0;1.0;0.999000999000999;1.0;0.9998001998001997;0.0003996003996003861;0.8697916666666667;0.870169344333478;0.8696785403996524;0.8691873098652759;0.8696785403996524;0.8697010803329451;0.00031383219996900105;1002;1002;1001;1000;1001;1001.2;0.7483314773547883;0;0;0;0;0;0.0;0.0;300;299;300;300;300;299.8;0.4;0;0;0;1;0;0.2;0.4;0.0;0.0;0.0;-0.0015345229296090945;0.0;-0.0003069045859218189;0.0006138091718436378;0.0;0.0;0.0;-0.015183500652917745;0.0;-0.003036700130583549;0.006073400261167098;0.5;0.5;0.5;0.4995004995004995;0.5;0.49990009990009987;0.00019980019980019305;0.08253192901611328;0.025671958923339844;0.7694790225910558;0.5;0.7694790225910558;1.0;0.8697238144867119;1669;0;500;0;0.0;0.0;0.5
LR_Count_Vectors;47.320361852645874;44.50585675239563;46.09866714477539;47.046473026275635;23.179493188858032;41.63017039299011;9.277705940719837;0.05146598815917969;0.08751320838928223;0.11605691909790039;0.09557199478149414;0.05134391784667969;0.08039040565490722;0.02543082983247379;0.7526881720430108;0.7609531129900077;0.7840122982321291;0.7355880092236741;0.7540353574173713;0.7574553899812386;0.015685080636688286;0.6034530938123752;0.6101626179079966;0.6437146187146188;0.588902763902764;0.6254012654012654;0.6143268719478041;0.01880556929701917;0.8136531365313653;0.8166819431714024;0.8302752293577982;0.8078725398313027;0.8245948522402288;0.8186155402264195;0.0079432591332804;0.8802395209580839;0.8892215568862275;0.9040959040959041;0.8611388611388612;0.8641358641358642;0.879766341442988;0.01595523400105995;0.8456375838926176;0.8514094601051123;0.8656145384983263;0.8336557059961315;0.8439024390243902;0.8480439455033156;0.010488245944520377;882;891;905;862;865;881.0;16.087262041752165;98;99;115;95;116;104.6;9.00222194794152;202;200;185;205;184;195.2;8.885943956609225;120;111;96;139;136;120.4;15.957443404254956;0.22881486877248747;0.24601354008076337;0.3207478108028263;0.19264558912135998;0.265687395052844;0.25078184076605625;0.04243234807801622;0.23335928145195325;0.2519484412936632;0.32843855455741555;0.1949991805548983;0.26731391480106326;0.2552118745317987;0.04386880527897223;0.6034530938123752;0.6101626179079966;0.6437146187146188;0.588902763902764;0.6254012654012655;0.6143268719478041;0.018805569297019185;84.27629113197327;0.004144906997680664;0.7542646380820655;0.6196914319952067;0.8216308040770102;0.8693828639904134;0.8448326055312956;1451;185;315;218;0.25683222047727994;0.2592139418572946;0.6196914319952067
LR_WordLevel_TF-IDF;1.487344741821289;1.6829700469970703;1.519360065460205;1.2507357597351074;0.9802408218383789;1.3841302871704102;0.24460838857010736;0.08581829071044922;0.05853009223937988;0.07538604736328125;0.08258724212646484;0.04671525955200195;0.06980738639831544;0.014907842991660763;0.7672811059907834;0.7770945426594927;0.7747886241352806;0.7740199846272099;0.7824750192159877;0.7751318553257509;0.004914519848566849;0.5101796407185629;0.5291290329040915;0.5198368298368299;0.5205044955044955;0.5376706626706627;0.5234641323269285;0.00929850626417699;0.7732603596559813;0.7807570977917981;0.7765625;0.7768206734534064;0.7831230283911672;0.7781047318584706;0.0034558232669944216;0.9870259481037924;0.9880239520958084;0.993006993006993;0.991008991008991;0.9920079920079921;0.9902147752447155;0.002306998468866974;0.8671635247698378;0.8722466960352423;0.8715475668566418;0.8709394205443372;0.8752754517408551;0.8714345319893828;0.0026042922212483575;989;990;994;992;993;991.6;1.8547236990991407;10;21;14;15;25;17.0;5.329165037789691;290;278;286;285;275;282.8;5.491812087098392;13;12;7;9;8;9.8;2.315167380558045;0.03009249015356008;0.08468745602841354;0.05883151737811121;0.060497538833377384;0.10944941502008798;0.06871168348271003;0.026725718052888366;0.06508152843692248;0.15588664849943015;0.13260664808286618;0.12836767655791492;0.20183399898231644;0.13675530011189002;0.04433043790997237;0.5101796407185628;0.5291290329040914;0.5198368298368299;0.5205044955044955;0.5376706626706627;0.5234641323269285;0.009298506264177008;7.949621915817261;0.0026018619537353516;0.7782388197325957;0.5288058717795087;0.7799245994344958;0.9916117435590174;0.8731205486678977;1655;33;467;14;0.0843868451515346;0.16664894577545175;0.5288058717795087
