Model;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;fit_time_std;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;score_time_std;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_acc_std;test_balanced_accuracy_cv1;test_balanced_accuracy_cv2;test_balanced_accuracy_cv3;test_balanced_accuracy_cv4;test_balanced_accuracy_cv5;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_prec_std;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_recall_std;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_f1-score_std;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tp_std;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_tn_std;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fp_std;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;test_fn_std;test_cohens_kappa_cv1;test_cohens_kappa_cv2;test_cohens_kappa_cv3;test_cohens_kappa_cv4;test_cohens_kappa_cv5;test_cohens_kappa_mean;test_cohens_kappa_std;test_matthews_corrcoef_cv1;test_matthews_corrcoef_cv2;test_matthews_corrcoef_cv3;test_matthews_corrcoef_cv4;test_matthews_corrcoef_cv5;test_matthews_corrcoef_mean;test_matthews_corrcoef_std;test_roc_auc_cv1;test_roc_auc_cv2;test_roc_auc_cv3;test_roc_auc_cv4;test_roc_auc_cv5;test_roc_auc_mean;test_roc_auc_std;fit_time_overall;score_time_overall;acc_overall;balanced_accuracy_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;cohens_kappa_overall;matthews_corrcoef_overall;roc_auc_overall
NB_Count_Vectors;0.08292698860168457;0.07639217376708984;0.07733583450317383;0.07128381729125977;0.0557861328125;0.0727449893951416;0.009249743358588252;0.044898033142089844;0.042977094650268555;0.042916059494018555;0.05229997634887695;0.03287386894226074;0.04319300651550293;0.0062040621077663555;0.6536098310291859;0.652574942352037;0.649500384319754;0.6733282090699462;0.6740968485780169;0.660622043069788;0.010776226416741377;0.5966975487595761;0.6053509227006596;0.6034758763803454;0.621187529336199;0.6221584031226068;0.6097740560598774;0.010137708257425548;0.6185185185185185;0.5963302752293578;0.5880597014925373;0.6541095890410958;0.6552901023890785;0.6224616373341176;0.028146724236415975;0.32427184466019415;0.3786407766990291;0.3825242718446602;0.37087378640776697;0.37281553398058254;0.3658252427184466;0.02118552496619163;0.4254777070063694;0.46318289786223277;0.4635294117647059;0.473358116480793;0.4752475247524753;0.4601591315733152;0.018028732470409443;167;195;197;191;192;188.4;10.910545357588685;684;654;648;685;685;671.2;16.606023003717656;103;132;138;101;101;115.0;16.45600194457937;348;320;318;324;323;326.6;10.910545357588685;0.21071817411992422;0.22485210220502172;0.22022082018927447;0.2619272319050868;0.2639301431243978;0.236329694308741;0.022199998279731348;0.23324627177871324;0.23753623695267992;0.23145844430593993;0.2840964493435084;0.286025105115586;0.25447250149928546;0.02506065359996149;0.5966975487595761;0.6053509227006596;0.6034758763803454;0.621187529336199;0.6221584031226067;0.6097740560598773;0.010137708257425519;0.027093887329101562;0.01063394546508789;0.6675887505763024;0.6282198366643266;0.612012987012987;0.43888242142025613;0.5111864406779661;377;1071;239;482;0.2695663261850726;0.2781258533099129;0.6282198366643265
NB_WordLevel_TF-IDF;0.037377119064331055;0.03729987144470215;0.04872918128967285;0.039978981018066406;0.04949784278869629;0.04257659912109375;0.005429253150997681;0.035881996154785156;0.03686189651489258;0.03793478012084961;0.036908864974975586;0.03459811210632324;0.03643712997436523;0.0011257066014407455;0.6075268817204301;0.6126056879323597;0.6049192928516526;0.6126056879323597;0.611837048424289;0.6098989197722182;0.0031251489309996653;0.504554594687951;0.51201857753403;0.5043182884952692;0.5130228019466884;0.5110477037476222;0.5089923932823123;0.0037727337080798234;0.75;0.7894736842105263;0.5238095238095238;0.72;0.7777777777777778;0.7122121971595655;0.09721349493271045;0.011650485436893204;0.02912621359223301;0.021359223300970873;0.03495145631067961;0.027184466019417475;0.024854368932038833;0.007901743669660507;0.022944550669216062;0.056179775280898875;0.04104477611940299;0.06666666666666667;0.0525328330206379;0.0478737203513645;0.014912884971941844;6;15;11;18;14;12.8;4.069397989875161;785;782;776;779;782;780.8;3.059411708155671;2;4;10;7;4;5.4;2.8;509;500;504;497;501;502.2;4.06939798987516;0.01097656331294794;0.028822626798822304;0.010347695595421591;0.031155897693523782;0.02650494226492206;0.021561545133127535;0.009022243011574732;0.05699786390001353;0.09798895804303054;0.033515206857987645;0.09277991652610812;0.09250545045077892;0.07475747915558376;0.025281729780465483;0.5045545946879512;0.51201857753403;0.5043182884952692;0.5130228019466885;0.5110477037476221;0.5089923932823122;0.0037727337080798082;0.01616525650024414;0.0038909912109375;0.6145689257722453;0.5163935518844032;0.7169811320754716;0.04423748544819558;0.08333333333333334;38;1295;15;821;0.039102865070474224;0.10385789557921087;0.5163935518844031
NB_N-Gram_TF-IDF;0.0160372257232666;0.015359878540039062;0.01919078826904297;0.015674114227294922;0.010529041290283203;0.015358209609985352;0.0027774228065794867;0.03033280372619629;0.031990766525268555;0.028033971786499023;0.02912306785583496;0.01886892318725586;0.027669906616210938;0.004592654607639772;0.6059907834101382;0.6141429669485011;0.6141429669485011;0.6133743274404304;0.6110684089162183;0.6117438907327577;0.0030894652218683843;0.5103304918518153;0.5196509301119099;0.5186467056992514;0.5166716075001853;0.5144284690827342;0.5159456408491792;0.0033281723469396865;0.5192307692307693;0.6181818181818182;0.6326530612244898;0.6428571428571429;0.6046511627906976;0.6035147908569835;0.044084166758875394;0.05242718446601942;0.06601941747572816;0.06019417475728155;0.05242718446601942;0.05048543689320388;0.056310679611650497;0.005889611995379847;0.09523809523809523;0.1192982456140351;0.1099290780141844;0.09694793536804308;0.0931899641577061;0.1029206636784128;0.010067024545830887;27;34;31;27;26;29.0;3.03315017762062;762;765;768;771;769;767.0;3.1622776601683795;25;21;18;15;17;19.2;3.4871191548325386;488;481;484;488;489;486.0;3.03315017762062;0.024461276461498427;0.04645506044501546;0.04418595802099834;0.03961567192106796;0.03427181560525061;0.03779795649076616;0.007865835054945635;0.051592348498620585;0.09551852960573139;0.09579587203071671;0.09225392447785156;0.07893881234713668;0.08281989739201139;0.01678603393297345;0.5103304918518153;0.51965093011191;0.5186467056992515;0.5166716075001853;0.5144284690827343;0.5159456408491794;0.003328172346939719;0.012991189956665039;0.002918243408203125;0.6058091286307054;0.5101436074256414;0.524390243902439;0.050058207217694994;0.09139213602550479;43;1271;39;816;0.024028591381851983;0.05202193566123815;0.5101436074256414
NB_CharLevel_TF-IDF;0.3597447872161865;0.315997838973999;0.31227612495422363;0.3029909133911133;0.20877289772033691;0.2999565124511719;0.04961329255886945;0.1350560188293457;0.05199909210205078;0.06898188591003418;0.09502315521240234;0.04090094566345215;0.07839221954345703;0.03369902474289798;0.6044546850998463;0.6049192928516526;0.6033820138355112;0.6041506533435819;0.6041506533435819;0.6042114596948347;0.0005011110922316892;0.5;0.5009708737864078;0.4993638676844784;0.5;0.5;0.5000669482941772;0.0005147523407462132;0.0;1.0;0.0;0.0;0.0;0.2;0.4000000000000001;0.0;0.001941747572815534;0.0;0.0;0.0;0.00038834951456310677;0.0007766990291262136;0.0;0.0038759689922480615;0.0;0.0;0.0;0.0007751937984496123;0.0015503875968992246;0;1;0;0;0;0.2;0.4000000000000001;787;786;785;786;786;786.0;0.6324555320336759;0;0;1;0;0;0.2;0.4000000000000001;515;514;515;515;515;514.8;0.4000000000000001;0.0;0.002345267542511742;-0.001536657486505666;0.0;0.0;0.00016172201120121522;0.001243448915899495;0.0;0.03426383597269655;-0.022450223315443666;0.0;0.0;0.0023627225314505765;0.01816651146298608;0.5;0.5009708737864078;0.4993638676844784;0.5;0.5;0.5000669482941772;0.0005147523407462132;0.054428815841674805;0.018734216690063477;0.6039649608114338;0.5;0.0;0.0;0.0;0;1310;0;859;0.0;0.0;0.5
LR_Count_Vectors;26.14783501625061;25.40176010131836;26.733362913131714;27.016018867492676;9.79908800125122;23.019612979888915;6.633338183943762;0.03841590881347656;0.045300960540771484;0.03015613555908203;0.023380041122436523;0.018243074417114258;0.031099224090576173;0.009807945550781141;0.6182795698924731;0.6164488854727133;0.6195234435049961;0.6487317448116833;0.644119907763259;0.629420710289025;0.013995224892203983;0.5889478294124177;0.5972108994787421;0.5997554287408287;0.6272758714395119;0.6214506287210653;0.6069281315585131;0.014792545233116282;0.5202702702702703;0.5158730158730159;0.52;0.5601659751037344;0.5546218487394958;0.5341862219973033;0.019093656210343025;0.44854368932038835;0.5048543689320388;0.5048543689320388;0.5242718446601942;0.512621359223301;0.4990291262135922;0.026224377500790885;0.48175182481751827;0.5103042198233562;0.5123152709359606;0.5416248746238717;0.5327951564076692;0.5157582693216751;0.0207719809024993;231;260;260;270;264;257.0;13.505554412907307;574;542;546;574;574;562.0;14.75127113166862;213;244;240;212;212;224.2;14.593149077563758;284;255;255;245;251;258.0;13.505554412907307;0.18223728607932788;0.19514033615216486;0.20051768123498637;0.2573950491920808;0.24611425875238258;0.21628092228218848;0.029781782057668776;0.18349371855867175;0.1951710577788422;0.20057655255227214;0.25776591705010304;0.246611996966846;0.21672384858134705;0.029689231380615702;0.5889478294124177;0.5972108994787421;0.5997554287408285;0.6272758714395118;0.6214506287210653;0.6069281315585131;0.014792545233116263;14.74590277671814;0.003425121307373047;0.6537574919317658;0.6354059842351749;0.5649038461538461;0.5471478463329453;0.5558840922531046;470;948;362;389;0.27228519618674574;0.27237843293796266;0.6354059842351749
LR_WordLevel_TF-IDF;0.9738218784332275;0.7536802291870117;0.7036569118499756;0.81569504737854;0.48007893562316895;0.7453866004943848;0.16082553412995482;0.025399208068847656;0.037468910217285156;0.03661012649536133;0.024771928787231445;0.017220020294189453;0.02829403877258301;0.007703957033262311;0.6589861751152074;0.6379707916986933;0.6456571867794004;0.6702536510376633;0.6648731744811683;0.6555481958224265;0.012015178211821688;0.5981248689258707;0.5785357839867585;0.5859013315546333;0.6092702388893007;0.5997961906173571;0.594325682794784;0.01084426692905281;0.6448979591836734;0.5852713178294574;0.6062992125984252;0.6791666666666667;0.6820276497695853;0.6395325612095617;0.0386114500002111;0.3067961165048544;0.29320388349514565;0.29902912621359223;0.31650485436893205;0.287378640776699;0.3005825242718446;0.010230632910539422;0.4157894736842105;0.3906856403622251;0.40052015604681407;0.4317880794701987;0.40437158469945356;0.4086309868525804;0.014095803743953809;158;151;154;163;148;154.8;5.2687759489277965;700;679;686;709;717;698.2;14.076931483814219;87;107;100;77;69;88.0;14.057026712644463;357;364;361;352;367;360.2;5.2687759489277965;0.21580096856898667;0.17185610048477373;0.18824956114172176;0.24069763487086004;0.22170845556253793;0.207662544125776;0.024551187814843493;0.24551584752980363;0.19264620559522894;0.21196032655122574;0.2755392442834767;0.2618269453929865;0.2374977138705443;0.030877745888182897;0.5981248689258707;0.5785357839867585;0.5859013315546333;0.6092702388893007;0.5997961906173571;0.594325682794784;0.01084426692905281;0.5355839729309082;0.0017540454864501953;0.6532964499769479;0.5991539958588452;0.6126315789473684;0.33876600698486614;0.4362818590704648;291;1126;184;568;0.21484011714665863;0.2345140885833396;0.5991539958588452
LR_N-Gram_TF-IDF;0.4246821403503418;0.44367504119873047;0.44227099418640137;0.4354739189147949;0.2256178855895996;0.39434399604797366;0.0846299274150466;0.0359196662902832;0.035552024841308594;0.03498697280883789;0.03770017623901367;0.019292831420898438;0.03269033432006836;0.006759940916123359;0.6067588325652842;0.6164488854727133;0.6179861644888547;0.6187548039969254;0.6164488854727133;0.6152795143992982;0.0043529408180182794;0.5287499537385426;0.5409743323698708;0.5375602164085082;0.538865831665802;0.5326057955977173;0.5357512259560882;0.004453439133909048;0.5095541401273885;0.5476190476190477;0.5652173913043478;0.5673758865248227;0.5677966101694916;0.5515126151490197;0.02227243254019674;0.1553398058252427;0.1786407766990291;0.15145631067961166;0.1553398058252427;0.13009708737864079;0.1541747572815534;0.015417035527207143;0.23809523809523805;0.26939970717423134;0.23889739663093415;0.24390243902439024;0.2116903633491311;0.24039702885478498;0.01835790310530863;80;92;78;80;67;79.4;7.9397732965116825;710;710;726;725;735;721.2;9.785703858180055;77;76;60;61;51;65.0;10.019980039900279;435;423;437;435;448;435.6;7.9397732965116825;0.06535022166638171;0.09271839707746421;0.08596958212529315;0.0888558172108902;0.07520587812129187;0.08161997924026423;0.010002969354756547;0.0863387103018032;0.11950530190475006;0.1193008583860275;0.12228531246419734;0.11104686667815716;0.11169540994698705;0.013223963996793564;0.5287499537385425;0.5409743323698709;0.5375602164085082;0.538865831665802;0.5326057955977174;0.5357512259560882;0.004453439133909093;0.24765491485595703;0.0006990432739257812;0.6260949746426925;0.55218699179767;0.5827586206896552;0.19674039580908032;0.29416884247171454;169;1189;121;690;0.11780671738313853;0.14998992917479131;0.55218699179767
LR_CharLevel_TF-IDF;3.5608110427856445;3.633939027786255;3.3312790393829346;3.948662042617798;2.210358142852783;3.337009859085083;0.5969504546702891;0.040357112884521484;0.04153704643249512;0.040994882583618164;0.0276186466217041;0.023321151733398438;0.034765768051147464;0.007719790194166392;0.630568356374808;0.6256725595695619;0.6256725595695619;0.627978478093774;0.6310530361260569;0.6281889979467525;0.002305354811848506;0.5484449982112236;0.5462647298599274;0.5449257639763828;0.5438214876849725;0.5456965340052867;0.5458307027475586;0.0015425161849597154;0.6349206349206349;0.5985915492957746;0.6044776119402985;0.6371681415929203;0.6666666666666666;0.628364920883259;0.02467612204412397;0.1553398058252427;0.1650485436893204;0.15728155339805824;0.13980582524271845;0.13592233009708737;0.15067961165048543;0.011025296750740498;0.24960998439937598;0.258751902587519;0.2496147919876733;0.22929936305732485;0.2258064516129032;0.24261649872895927;0.01279187237723121;80;85;81;72;70;77.6;5.6780278266313555;741;729;733;745;751;739.8;7.95989949685296;46;57;53;41;35;46.4;7.939773296511683;435;430;434;443;445;437.4;5.6780278266313555;0.11143555211250822;0.10573086406858456;0.1029860022737279;0.10127055626443326;0.10593153607169958;0.1054709021581907;0.0034546908960912353;0.1602437084693861;0.1451139031986569;0.14456146047166546;0.15218945379736581;0.1640846310095788;0.1532386313893306;0.007862723314299255;0.5484449982112236;0.5462647298599274;0.5449257639763828;0.5438214876849725;0.5456965340052866;0.5458307027475586;0.0015425161849597173;2.792086124420166;0.008114814758300781;0.6316274781005071;0.554763216593056;0.6162790697674418;0.1850989522700815;0.28469113697403764;159;1211;99;700;0.12452356090767047;0.1654668418845225;0.554763216593056
SVM_Count_Vectors;154.26283383369446;154.23330903053284;154.34676599502563;154.77934908866882;89.75416803359985;141.47528519630433;25.86130571672874;40.01034903526306;39.85267686843872;40.1537606716156;39.7695050239563;22.812559127807617;36.51977014541626;6.8548771836871065;0.6390168970814132;0.6233666410453498;0.6410453497309762;0.6487317448116833;0.6410453497309762;0.6386411964800798;0.008328652544205447;0.5661711550560689;0.5564070258652635;0.571038069122261;0.5780688752192494;0.5633390152918798;0.5670048281109445;0.007281851114868559;0.6256983240223464;0.5576036866359447;0.6237113402061856;0.6542553191489362;0.6621621621621622;0.624686166435115;0.036826129020332894;0.2174757281553398;0.23495145631067962;0.23495145631067962;0.23883495145631067;0.19029126213592232;0.2233009708737864;0.01809058593996446;0.3227665706051873;0.33060109289617484;0.34132581100141046;0.3499288762446658;0.2956259426847662;0.3280496586864409;0.01865837386702575;112;121;121;123;98;115.0;9.316651759081692;720;690;713;721;736;716.0;15.006665185843255;67;96;73;65;50;70.2;14.958609561052125;403;394;394;392;417;400.0;9.316651759081692;0.1491592257145956;0.12531454868266878;0.15918039161957898;0.1753293858353342;0.14442005117423318;0.15068072060528215;0.016521227021073764;0.18792012745100822;0.14799041115339354;0.19505691726544472;0.21716823349700956;0.19510602420817558;0.18864834271500633;0.02258208734635773;0.566171155056069;0.5564070258652635;0.5710380691222608;0.5780688752192494;0.5633390152918797;0.5670048281109445;0.007281851114868555;134.0923991203308;45.79328274726868;0.6463808206546796;0.5812048449732958;0.625;0.26775320139697323;0.37489812550937246;230;1172;138;629;0.1801335443259432;0.21162326046453975;0.5812048449732958
SVM_WordLevel_TF-IDF;139.98661589622498;139.77681469917297;139.1793339252472;139.6868200302124;84.68137121200562;128.66219115257263;21.992010863003753;37.323150873184204;37.28586435317993;37.14915084838867;37.375367879867554;21.86019778251648;34.19874634742737;6.169729215943458;0.6559139784946236;0.6379707916986933;0.6471944657955419;0.6679477325134512;0.6556495003843198;0.652935293777326;0.009985051079831902;0.5898792267551597;0.5738494033943526;0.5824872155932705;0.6010017539958992;0.5837940660589441;0.5862023331595253;0.008997100936944512;0.6558139534883721;0.5956521739130435;0.625;0.7024390243902439;0.6871508379888268;0.6532111979560973;0.03921980452845082;0.2737864077669903;0.26601941747572816;0.27184466019417475;0.2796116504854369;0.23883495145631067;0.26601941747572816;0.014268872288057354;0.38630136986301367;0.3677852348993289;0.37889039242219213;0.4;0.35446685878962536;0.377488771194832;0.015559877423046774;141;137;140;144;123;137.0;7.3484692283495345;713;693;702;725;730;712.6;13.807244475274565;74;93;84;61;56;73.6;13.807244475274565;374;378;375;371;392;378.0;7.3484692283495345;0.19987928834995405;0.1632755053970465;0.1827788794324493;0.2253924500737352;0.18882598215230117;0.19203042108109725;0.02048089023275925;0.23672618642287305;0.18933601008985884;0.21369761065556073;0.2711387511641625;0.23792232988137352;0.22976417764276574;0.027274352988550677;0.5898792267551597;0.5738494033943526;0.5824872155932705;0.6010017539958992;0.5837940660589442;0.5862023331595253;0.008997100936944506;128.9992160797119;45.53416395187378;0.6565237436606731;0.5960143607425641;0.6390243902439025;0.3050058207217695;0.4129235618597321;262;1162;148;597;0.21101509168826815;0.23986869483714585;0.5960143607425642
