Model;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;fit_time_std;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;score_time_std;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_acc_std;test_balanced_accuracy_cv1;test_balanced_accuracy_cv2;test_balanced_accuracy_cv3;test_balanced_accuracy_cv4;test_balanced_accuracy_cv5;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_prec_std;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_recall_std;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_f1-score_std;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tp_std;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_tn_std;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fp_std;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;test_fn_std;test_cohens_kappa_cv1;test_cohens_kappa_cv2;test_cohens_kappa_cv3;test_cohens_kappa_cv4;test_cohens_kappa_cv5;test_cohens_kappa_mean;test_cohens_kappa_std;test_matthews_corrcoef_cv1;test_matthews_corrcoef_cv2;test_matthews_corrcoef_cv3;test_matthews_corrcoef_cv4;test_matthews_corrcoef_cv5;test_matthews_corrcoef_mean;test_matthews_corrcoef_std;test_roc_auc_cv1;test_roc_auc_cv2;test_roc_auc_cv3;test_roc_auc_cv4;test_roc_auc_cv5;test_roc_auc_mean;test_roc_auc_std;fit_time_overall;score_time_overall;acc_overall;balanced_accuracy_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;cohens_kappa_overall;matthews_corrcoef_overall;roc_auc_overall
NB_Count_Vectors;0.07977175712585449;0.07150697708129883;0.07713508605957031;0.07382726669311523;0.06728386878967285;0.07390499114990234;0.004346222037944838;0.04257917404174805;0.0462491512298584;0.04446005821228027;0.05645179748535156;0.0310060977935791;0.044149255752563475;0.008137154908012673;0.8525345622119815;0.8508839354342813;0.8578016910069177;0.857033051498847;0.8493466564181399;0.8535199793140335;0.0033469726437805585;0.5016488413547237;0.5050538244754479;0.5114121829534252;0.5066508078104867;0.5115174943007236;0.5072566301789614;0.0037971107735301963;0.8621495327102804;0.8636363636363636;0.8651597817614964;0.8632478632478633;0.8644602048857368;0.8637307492483481;0.0010311714429740565;0.9866310160427807;0.982174688057041;0.9893048128342246;0.9910793933987511;0.9785905441570026;0.9855560908979599;0.004597129045625769;0.9201995012468828;0.9190992493744787;0.923076923076923;0.9227574750830565;0.9179916317991632;0.9206249561161007;0.002000148443827944;1107;1102;1110;1111;1097;1105.4;5.238320341483518;3;5;6;4;8;5.2;1.7204650534085253;177;174;173;176;172;174.4;1.8547236990991407;15;20;12;10;24;16.2;5.15363949069005;0.0053001002721674295;0.01583129918035986;0.03669357582258359;0.021701690694308495;0.03517321750185398;0.022939976694254672;0.011849435075481099;0.009748163028865883;0.025361664459335298;0.06730883663320103;0.04451333786146213;0.051347731350686265;0.03965594666671012;0.02011853089947844;0.5016488413547238;0.5050538244754479;0.5114121829534252;0.5066508078104867;0.5115174943007235;0.5072566301789614;0.0037971107735301386;0.028390884399414062;0.010679006576538086;0.8538497003227293;0.5218795271224939;0.8674869853289162;0.9802139037433155;0.9204117499372332;1833;19;280;37;0.06644064482754408;0.0951219100881557;0.5218795271224939
NB_WordLevel_TF-IDF;0.048185110092163086;0.04662609100341797;0.0766451358795166;0.06498932838439941;0.0271151065826416;0.05271215438842773;0.01694850883316031;0.05233597755432129;0.05353593826293945;0.03228020668029785;0.03121185302734375;0.017847061157226562;0.03744220733642578;0.013640131127032773;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.017737150192260742;0.005546092987060547;0.8621484555094514;0.5;0.8621484555094514;1.0;0.9259717751918792;1870;0;299;0;0.0;0.0;0.5
NB_N-Gram_TF-IDF;0.014116048812866211;0.016680002212524414;0.016031980514526367;0.015746116638183594;0.013396978378295898;0.015194225311279296;0.0012334108737482254;0.0271608829498291;0.030457019805908203;0.0356752872467041;0.022113800048828125;0.017321109771728516;0.026545619964599608;0.006383745577726654;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.010696887969970703;0.0017681121826171875;0.8621484555094514;0.5;0.8621484555094514;1.0;0.9259717751918792;1870;0;299;0;0.0;0.0;0.5
NB_CharLevel_TF-IDF;0.2870650291442871;0.2858281135559082;0.28450679779052734;0.29630112648010254;0.16232895851135254;0.26320600509643555;0.05060869920516321;0.04581880569458008;0.04583001136779785;0.0477910041809082;0.043312788009643555;0.031391143798828125;0.04282875061035156;0.005892793867399922;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.06039094924926758;0.016106128692626953;0.8616874135546335;0.49973262032085564;0.8620848708487084;0.9994652406417113;0.925705794947994;1869;0;299;1;-0.0009198556534206759;-0.008587863876614341;0.49973262032085564
LR_Count_Vectors;21.9552960395813;21.48916006088257;21.740007162094116;21.590032815933228;8.464632987976074;19.047825813293457;5.293923370472072;0.026619911193847656;0.04849696159362793;0.0363619327545166;0.050807952880859375;0.019513845443725586;0.03636012077331543;0.012121975384572934;0.8448540706605223;0.8324365872405841;0.8478093774019985;0.8393543428132206;0.8378170637970792;0.840454288382681;0.005401921583087829;0.5694890077243018;0.567136199324829;0.592482498331989;0.5780032708890872;0.5701159678858162;0.5754453888312046;0.009270703258334087;0.8795379537953796;0.8798319327731092;0.8862876254180602;0.8819095477386935;0.8797996661101837;0.8814733451670852;0.002553771446809072;0.9500891265597148;0.9331550802139037;0.9447415329768271;0.9393398751115076;0.9402319357716324;0.9415115101267173;0.005660243481354863;0.9134532990574121;0.9057093425605536;0.91458153580673;0.9097192224622032;0.9090125053902545;0.9104951810554308;0.003198544863923901;1066;1047;1060;1053;1054;1056.0;6.48074069840786;34;36;43;39;36;37.6;3.1368774282716245;146;143;136;141;144;142.0;3.40587727318528;56;75;62;68;67;65.6;6.343500610861482;0.17589772513630386;0.1597798265156184;0.223854604180853;0.18800897072569112;0.17091962319882326;0.18369214995145794;0.02203337187663824;0.18910639787628292;0.16556735892019495;0.2339118660461445;0.19605946647954156;0.17932422664848416;0.19279386319412958;0.02296808815498883;0.5694890077243019;0.567136199324829;0.592482498331989;0.5780032708890872;0.5701159678858162;0.5754453888312046;0.009270703258334073;13.853471994400024;0.003576040267944336;0.8455509451360074;0.5929291935685798;0.8862606945143432;0.941711229946524;0.9131449312937515;1761;73;226;109;0.22241675076221068;0.23110212238113256;0.5929291935685796
LR_WordLevel_TF-IDF;0.7888367176055908;0.7143459320068359;0.6876378059387207;0.7553868293762207;0.35636281967163086;0.6605140209197998;0.1559545394368895;0.03177332878112793;0.04148387908935547;0.038902997970581055;0.03769111633300781;0.019652843475341797;0.03390083312988281;0.007802845248071533;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5080130100250244;0.001979827880859375;0.8626094974642693;0.5016722408026756;0.8625461254612546;1.0;0.9262010896483407;1870;1;298;0;0.005752943384268905;0.05371005166979538;0.5016722408026756
LR_N-Gram_TF-IDF;0.28636908531188965;0.22752809524536133;0.29004406929016113;0.26089000701904297;0.17379999160766602;0.2477262496948242;0.04319816705522452;0.03872108459472656;0.03866910934448242;0.0391538143157959;0.03833889961242676;0.017292022705078125;0.03443498611450195;0.008575401032701557;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.13461899757385254;0.0008299350738525391;0.8621484555094514;0.5;0.8621484555094514;1.0;0.9259717751918792;1870;0;299;0;0.0;0.0;0.5
LR_CharLevel_TF-IDF;3.3088197708129883;2.9052789211273193;3.3832757472991943;3.492366075515747;1.7242069244384766;2.9627894878387453;0.6502908956749344;0.051650047302246094;0.06101202964782715;0.051390886306762695;0.02887868881225586;0.025263071060180664;0.04363894462585449;0.014011654649477224;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;2.245950937271118;0.009728193283081055;0.8621484555094514;0.5;0.8621484555094514;1.0;0.9259717751918792;1870;0;299;0;0.0;0.0;0.5
SVM_Count_Vectors;131.38739705085754;112.13921689987183;112.12722897529602;131.03548216819763;68.7219488620758;111.08225479125977;22.834337053204273;26.45340085029602;29.58460307121277;29.418070077896118;26.91344380378723;17.436264991760254;25.961156558990478;4.447528468173912;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8616448885472713;0.8619735970557919;0.0003612918227475617;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9256812551610238;0.9258708724668645;0.00020840569001393585;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;180;179;179;180;180;179.6;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;96.12236428260803;33.59488272666931;0.8621484555094514;0.5;0.8621484555094514;1.0;0.9259717751918792;1870;0;299;0;0.0;0.0;0.5
SVM_WordLevel_TF-IDF;133.49250721931458;133.01617288589478;132.82293105125427;133.2989308834076;76.16694498062134;121.75949740409851;22.79743488992725;31.599181175231934;31.320456981658936;31.34720277786255;31.725201845169067;18.436080932617188;28.885624742507936;5.226993914810128;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.862413528055342;0.862127324957406;0.0003521328067758508;0.5;0.5;0.5;0.5;0.5027777777777778;0.5005555555555555;0.0011111111111111072;0.8617511520737328;0.862413528055342;0.862413528055342;0.8616448885472713;0.8623076923076923;0.8621061578078761;0.00033715500729611993;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.9257425742574258;0.9261246388774247;0.9261246388774247;0.9256812551610238;0.9260636100784799;0.9259473434503558;0.00019448324649041092;1122;1122;1122;1121;1121;1121.6;0.4898979485566356;0;0;0;0;1;0.2;0.4;180;179;179;180;179;179.4;0.4898979485566356;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.009535515755717205;0.0019071031511434411;0.0038142063022868823;0.0;0.0;0.0;0.0;0.06921414805224645;0.01384282961044929;0.02768565922089858;0.5;0.5;0.5;0.5;0.5027777777777778;0.5005555555555555;0.0011111111111111072;112.55400204658508;36.16858887672424;0.8630705394190872;0.5033444816053512;0.8629441624365483;1.0;0.9264305177111716;1870;2;297;0;0.0114781493172188;0.07597500743947588;0.5033444816053512
