,twitter_id,bio,types
0,1322744658687152128,#infp • EII • 18 y/o • he/him • enneagram 5 • sp/sx,INFP
1,103846480,"Director, Gen St Strategy @WGU. #INFJ Eng Lit PhD. #highered Bibliophile Ravenclaw. Cert Coach & Chg Mngr. Views own. #amwriting #introvert #blog #futurist 🦉",INFJ
2,3795787157,♈︎☼♒︎☾♋︎➚ INTJ Tritype 584,INTJ
3,729602731401457664,🍃 ‎‎‎#ENTJ,ENTJ
4,1299870774782832640,"She/her | Atheist but still HOLY | Into MBTI & Video games | ""INFJ"" 5w4 | Worship Dance Gavin Dance, Bless this mess",INFJ
5,1260698951692562433,"★ 13 ★ he/him ★ 4w5 ★ I have cishet pass please don't murder me ★ I am M!INFP in real life ★
Forced to be taken by @midoribrainrot please help me the fuck out",INFP
6,1241572324245000193,"Back after a season of darkness. Psychology, Philosophy, MBTI, and Light. INFJ",INFJ
7,78554747,"American, Dad, Husband. Was a Republican. Catholic #VoteBlue. @JoeBiden #BuildBackBetter #INFP Believe in people and what we can achieve when united.",INFP
8,1167006765260660736,my Twitter account is just me advocating for everyone and everything | 4w3 so/sx | 459 | infp I,INFP
9,1082998363,"ENFP 🌼♦️
still trying to figure out my Enneagram but most likely 4w3 sp/so

armchair explorer who just moved to Brazil",ENFP
10,1319154378234761216,INFP-T,INFP
11,1044787357692551168,"another misguided ghost, constantly seeking meaning
/
they/them /
INFP-T",INFP
12,1304440540700774401,9w8 | intj | ravenclaw | scorpio ☀️|scorpio 🌙| libra rising |rodents rock |muslim | way too many hobbies 😸| minor | sp/sx | 936 | lawful evil,INTJ
13,1297178838514900992,"can we watch the saturn sky together?
infp - t with high Se, no i'm not a mistyped isfp",INFP ISFP
14,346849308,a 1w9 sp/sx INFJ 🌿,INFJ
15,1016553636762091528,"♎︎ | very INFP | writer | advice columnist | love & life coach |
enquiries: kelleynele@gmail.com ✉️",INFP
16,3052746166,"fan account who constantly cries about Namjoon and occasionally votes...
loves books, tea and the moon.. (infj, 9w1, 9-6-3, sp/so) 🏳️‍🌈
oikawa support account",INFJ
17,973297784341319681,♈️INFJ-A 💫,INFJ
18,1099879349044633601,"INFJ-T. Sound white as hell. Heart of a philosopher, mind of a geek. 🏳️‍🌈 Absolute horndog and professional ass eater. NSFW so 21+ over. He/Him #ravenclaw",INFJ
19,1297730634882977793,"INTP 5w4, she/her — Never discourage anyone who continually makes progress, no matter how slow. - Plato",INTP
20,1689268718,#Otaku #ESTP #7w8,ESTP
21,1028257901507358721,enfp 7w6 sx/so | personal tweets go here | @frenchfraise game dev twt,ENFP
22,1159183193691578368,"ISTP 694 sp/sx
♉☀️ ♈🌑 ♓⬆️",ISTP
23,1310346117008306176,"Enfp, f, 20",ENFP
24,1309876849372258310,"If I was a potato, it would be a purple majesty.  But I'm not. #INTP #MBTI #introvert #geek",INTP
25,1302281323378335747,Consultora Interna de RH @ Kuehne+Nagel | Especialista em RH | Recrutadora |Analista Certificada DISC | Sc | Formação e Desenvolvimento Organizacional | INTJ,INTJ
26,1301857259262111744,"If you have a never ending thoughts, all you have to do is to write things worth sharing. When we share good things, we feel good! 
#WritingCommunity
#INFJ",INFJ
27,942521315201814530,22.  Love lots of things.  California native. Sun: LEO  mbti : enfp,ENFP
28,891134084243537920,INTJ. Nature. Travel.I believe that these shells we occupy will only function for so long.Twitch profile  Science Faction. https://t.co/ND4G8YnpdR,INTJ
