twitter_id,bio,types
1305300007403151361,Kalat / rant account. INFP-T. Scorpio.,INFP
1023378872694263808,infj | virgo | cat mom,INFJ
1322605119381381120,☆彡 she/her • 20 • #studytwt • infp ; gemini /ᐠ｡ﻌ｡ᐟ\ • 🇬🇧,INFP
905734256176939008,INFP Swiftie kitty,INFP
349992029,"capri ☀️ taurus 🌙 sag ⬆️  ••
   infj. she/her",INFJ
932221591479451648,INTJ | Sleep enthusiast,INTJ
4783329985,"she/her ☆ ravenclaw ☆  infj ☆ cancer ☆ fan account « where there is hope, there is always despair; we need to be in despair, for all our hardships. »",INFJ
37170434,"ESFJ
Tirador ng Green Energy sa Gcash
Jowa ni Jung Hwan",ESFJ
1056564628275097600,An INTPian decided to go in this messy Twitter world. Charaught! 👽 Attracted sa *chubby* waaa can't help 😁,INTP
1284484555823443971,| Cebu | RN | single | Sharply Awake & Reasonably Disturbed | Bibliophile| INFJ-T,INFJ
851286296702066689,INTJ,INTJ
921360364519899139,♊️| Be the BEST version of yourself everyday| Type 5: The Thinker| ISTJ| 👨‍🔬+👷🏻‍♂️,ISTJ
716045678,Jinhii🌸26🌸INFP🌸♑︎🌸ENG/한글 OK 🇺🇸🇰🇷✨comms: https://t.co/jxm3tb48YZ🌸 Please only DM for important issues + commission inquiries or questions! Thank you 💗,INFP
308971855,ESTJ-A • 24 • BEDAN 🦁 • Entrepreneur • Child of the One True King • instagram = @nierod0321 • 🔽,ESTJ
1151062619895189504,triple cap babyyyy ☼ ☾ ↟ 12h stellium | 21 | INFP | life path 9 | she/her | wanna talk abt astrology n learn things!!!💗 #FightForHongKong #BlackLivesMatter,INFP
779977884068777985,music & artist for healing • INFJ • 18,INFJ
1254799815407353856,NSFW(medj)/21/M/5’5smolboi/aquarius/INFP/ -i sing -its more thoughts than thirst over here tbh/ i suck at talking sorry in advance,INFP
1232867084037754881,"Artist, Theater Kid, CrankGameplays Simp, Thomas Sanders simp, Corpse simp @/rainbowsaltart on the god forsaken clock app. @/the_moss_kings_art on insta INFP-t",INFP
